Temperature (°C),pH,Dissolved O2 (mg/L),BOD (mg/L),Conductivity (µS/cm),Salinity (ppt),Nitrate-N Concentration (mg/L),Bioremediating Organism
24.55,7.76,9.06,6.2,302.58,2.05,9.41,Bacillus cereus
29.9,7.14,9.45,7.22,310.01,0.7,17.9,Pseudomonas aeruginosa
23.98,7.32,12.2,9.24,510.75,4.08,10.65,Ideonella sakaiensis
25.24,7.07,12.05,5.58,387.94,4.48,4.42,Ideonella sakaiensis
25.45,7.98,8.7,11.05,461.26,0.78,10.61,Alcaligenes eutrophus
21.41,6.79,7.52,6.98,421.91,2.28,10.62,Bacillus cereus
24.92,6.17,11.59,4.25,334.49,3.94,12.64,Pseudomonas putida
21.51,7.02,11.71,3.7,120.76,3.92,14.44,Pseudomonas putida
28.08,7.26,6.26,14.99,707.64,0.03,16.8,Pseudomonas aeruginosa
24.35,7.16,9.38,4.09,273.87,4.1,4.5,Ideonella sakaiensis
26.92,8.18,11.64,14.48,579.76,0.2,11.85,Alcaligenes eutrophus
23.3,6.59,7.55,6.46,399.02,2.62,15.77,Bacillus cereus
24.47,6.22,8.28,1.36,245.49,3.52,14.38,Pseudomonas putida
20.69,7.75,5.17,2.79,100.25,0.16,3.22,Alcaligenes eutrophus
22.14,8.41,6.12,3.17,598.2,0.54,6.16,Alcaligenes eutrophus
23.68,7.19,10.86,6.55,413.15,1.1,28.06,Acinetobacter baumannii
21.27,8.53,5.94,10.21,234.74,0.24,11.15,Alcaligenes eutrophus
23.81,7.19,13.07,8.39,423.57,4.84,9.5,Ideonella sakaiensis
23.4,7.25,8.68,1.47,140.25,3.62,13.05,Pseudomonas putida
28.04,7.12,5.02,5.51,568.56,0.93,3.74,Alcaligenes eutrophus
26.76,7.73,7.74,4.28,724.37,0.58,12.04,Pseudomonas aeruginosa
28.55,8.01,5.26,13.26,411.01,1.07,18.38,Pseudomonas aeruginosa
26.81,7.28,10.95,2.48,429.1,4.26,0.39,Ideonella sakaiensis
22.81,6.97,11.57,7.2,655.01,1.2,33.54,Acinetobacter baumannii
28.03,8.51,9.45,10.0,470.19,1.56,20.3,Pseudomonas aeruginosa
21.91,7.77,6.22,5.63,345.46,2.78,17.18,Bacillus cereus
21.27,6.59,9.82,2.75,265.3,3.67,14.26,Pseudomonas putida
27.85,7.24,8.69,7.07,429.11,0.2,24.5,Pseudomonas aeruginosa
25.99,6.85,9.28,9.02,568.64,4.44,16.16,Ideonella sakaiensis
24.22,8.62,6.73,5.86,265.62,0.41,6.71,Alcaligenes eutrophus
20.41,7.7,6.96,3.67,303.49,2.48,10.65,Bacillus cereus
24.35,6.52,11.17,7.22,507.12,4.05,5.16,Ideonella sakaiensis
29.78,7.16,11.75,2.84,432.89,4.58,1.1,Ideonella sakaiensis
25.12,6.6,13.46,7.44,204.61,4.8,13.09,Ideonella sakaiensis
29.7,7.46,13.09,2.51,431.16,4.68,4.4,Ideonella sakaiensis
21.19,7.41,10.35,8.04,325.26,2.79,13.47,Bacillus cereus
27.02,7.12,7.56,9.4,702.79,1.49,22.48,Pseudomonas aeruginosa
23.4,7.97,8.25,8.16,503.49,0.19,3.18,Alcaligenes eutrophus
24.25,8.5,10.28,12.02,544.04,0.54,13.24,Alcaligenes eutrophus
20.51,7.08,9.35,3.15,366.06,3.75,12.12,Pseudomonas putida
23.3,6.43,11.73,1.92,131.87,3.51,13.69,Pseudomonas putida
24.65,7.29,9.67,4.9,301.39,3.83,13.78,Pseudomonas putida
22.62,6.51,7.41,5.17,272.15,2.42,9.86,Bacillus cereus
29.05,8.24,7.57,6.71,391.82,0.34,22.28,Pseudomonas aeruginosa
26.39,8.84,9.65,6.98,436.13,1.34,28.35,Pseudomonas aeruginosa
23.49,6.82,10.97,6.58,822.6,0.93,39.16,Acinetobacter baumannii
29.85,8.16,8.68,8.92,791.54,0.14,29.63,Pseudomonas aeruginosa
21.92,6.08,7.84,2.39,295.04,3.61,14.64,Pseudomonas putida
27.45,7.15,7.5,13.0,382.09,0.78,14.62,Alcaligenes eutrophus
22.17,7.24,11.23,5.38,730.67,0.13,17.84,Acinetobacter baumannii
21.04,7.85,7.81,10.89,585.61,0.46,11.25,Alcaligenes eutrophus
24.08,6.73,7.88,5.99,236.13,2.19,7.34,Bacillus cereus
29.18,7.47,12.31,3.2,204.23,4.98,3.35,Ideonella sakaiensis
29.34,6.79,11.08,5.93,266.97,4.08,7.99,Ideonella sakaiensis
20.28,6.62,8.85,4.18,255.56,3.73,12.66,Pseudomonas putida
20.76,6.74,10.58,4.77,150.8,3.93,13.33,Pseudomonas putida
23.63,7.44,12.31,2.05,428.71,1.0,25.6,Acinetobacter baumannii
27.14,8.85,7.12,13.58,709.14,0.73,23.09,Pseudomonas aeruginosa
28.53,7.29,5.65,10.25,471.65,1.55,25.26,Pseudomonas aeruginosa
24.23,8.83,9.79,8.69,436.86,0.95,1.78,Alcaligenes eutrophus
21.6,7.24,8.48,4.34,201.47,4.41,17.84,Ideonella sakaiensis
25.54,7.59,5.51,12.38,661.25,0.53,19.99,Pseudomonas aeruginosa
23.63,6.17,8.87,4.3,337.72,3.66,14.85,Pseudomonas putida
24.66,7.19,7.43,7.47,447.06,2.24,19.88,Bacillus cereus
20.66,7.81,9.95,8.93,248.43,2.58,6.53,Bacillus cereus
27.26,8.96,8.26,13.89,334.98,0.31,11.55,Alcaligenes eutrophus
23.87,6.51,8.59,2.03,542.26,4.46,13.38,Ideonella sakaiensis
28.18,8.8,5.91,14.28,608.68,1.13,22.89,Pseudomonas aeruginosa
22.19,7.04,10.62,6.34,277.32,4.95,19.93,Ideonella sakaiensis
29.95,7.94,7.25,6.18,392.35,1.1,18.79,Pseudomonas aeruginosa
26.76,7.34,13.78,3.57,756.59,1.26,16.72,Acinetobacter baumannii
25.52,6.59,10.56,4.4,405.04,4.51,4.32,Ideonella sakaiensis
20.01,7.49,10.04,5.83,454.78,4.78,11.78,Ideonella sakaiensis
29.8,6.77,10.36,8.4,472.28,4.8,10.85,Ideonella sakaiensis
27.25,8.35,7.34,11.15,313.6,0.57,13.61,Alcaligenes eutrophus
24.08,7.18,10.25,4.4,407.74,1.21,19.68,Acinetobacter baumannii
25.82,7.36,11.72,2.36,784.47,1.99,38.71,Acinetobacter baumannii
25.95,7.5,9.21,9.66,624.84,1.19,17.13,Pseudomonas aeruginosa
25.42,7.35,11.42,4.05,831.14,1.13,21.83,Acinetobacter baumannii
25.9,8.97,6.82,10.51,328.7,1.85,24.2,Pseudomonas aeruginosa
23.86,7.47,9.95,3.19,366.9,3.73,13.87,Pseudomonas putida
23.27,7.03,8.23,3.64,242.32,3.82,14.49,Pseudomonas putida
27.9,7.33,7.07,6.67,432.46,0.66,27.67,Pseudomonas aeruginosa
25.84,7.3,13.14,4.89,509.62,0.26,36.52,Acinetobacter baumannii
24.05,7.53,9.01,6.66,203.83,2.69,21.41,Bacillus cereus
25.33,6.55,8.98,6.9,866.07,1.69,21.83,Acinetobacter baumannii
20.51,7.46,10.75,5.87,175.15,2.67,10.43,Bacillus cereus
20.37,6.79,10.55,1.47,255.81,3.79,14.13,Pseudomonas putida
21.32,7.23,11.66,3.25,192.03,0.97,4.55,Alcaligenes eutrophus
27.12,8.33,8.34,12.57,539.66,1.34,25.46,Pseudomonas aeruginosa
28.63,7.22,10.87,3.89,552.68,4.8,0.3,Ideonella sakaiensis
22.26,8.83,11.86,10.56,286.16,0.96,14.2,Alcaligenes eutrophus
22.09,6.45,9.03,3.59,200.58,3.63,13.44,Pseudomonas putida
26.14,7.65,9.71,6.78,633.65,1.69,11.92,Pseudomonas aeruginosa
23.93,7.41,8.93,7.35,491.4,2.9,13.79,Bacillus cereus
25.29,7.06,5.53,7.79,354.14,0.82,28.26,Pseudomonas aeruginosa
28.95,8.49,9.7,11.63,387.7,0.7,12.08,Alcaligenes eutrophus
29.14,7.23,6.68,14.43,492.54,1.7,16.93,Pseudomonas aeruginosa
22.72,6.69,10.87,5.08,412.23,2.72,15.65,Bacillus cereus
25.69,7.35,8.76,7.0,776.85,0.53,12.66,Pseudomonas aeruginosa
24.66,6.17,10.51,2.76,249.23,3.54,12.88,Pseudomonas putida
28.24,6.56,9.01,8.76,559.35,4.4,8.3,Ideonella sakaiensis
25.66,7.45,8.48,2.39,470.46,4.17,13.96,Ideonella sakaiensis
24.65,7.5,8.16,8.5,201.75,2.66,11.88,Bacillus cereus
26.07,7.44,12.08,2.27,568.83,0.15,37.04,Acinetobacter baumannii
27.21,7.5,6.11,5.37,314.42,1.72,18.05,Pseudomonas aeruginosa
24.13,6.72,13.48,6.49,664.46,0.23,29.94,Acinetobacter baumannii
27.64,8.07,9.83,3.28,444.85,0.5,5.68,Alcaligenes eutrophus
25.82,8.19,8.99,10.54,532.59,1.5,15.35,Pseudomonas aeruginosa
27.49,8.58,9.84,2.1,361.01,0.13,9.24,Alcaligenes eutrophus
23.47,7.26,11.42,2.37,311.38,3.88,12.33,Pseudomonas putida
26.84,7.89,11.75,12.13,406.42,0.4,10.35,Alcaligenes eutrophus
24.04,7.23,10.63,7.73,400.1,4.17,6.95,Ideonella sakaiensis
29.71,7.51,7.71,13.58,583.76,0.43,28.8,Pseudomonas aeruginosa
25.41,7.12,9.08,8.78,185.98,0.6,8.6,Alcaligenes eutrophus
20.31,7.92,10.53,6.29,447.79,2.64,9.65,Bacillus cereus
22.12,6.88,11.49,8.43,598.68,4.4,17.99,Ideonella sakaiensis
24.51,7.49,10.83,4.42,719.1,0.83,39.54,Acinetobacter baumannii
26.18,8.56,7.28,1.13,609.14,0.01,5.53,Alcaligenes eutrophus
26.46,6.83,8.32,9.02,400.85,4.18,16.0,Ideonella sakaiensis
25.12,6.71,11.16,7.4,501.91,1.62,22.38,Acinetobacter baumannii
24.41,7.33,9.39,7.35,336.98,2.74,16.59,Bacillus cereus
20.17,7.36,12.62,6.83,514.04,4.34,17.0,Ideonella sakaiensis
27.62,6.51,10.89,3.39,914.85,2.27,37.46,Acinetobacter baumannii
28.59,8.0,8.46,8.93,752.55,0.78,15.07,Pseudomonas aeruginosa
20.59,6.45,11.11,1.72,169.41,3.61,12.09,Pseudomonas putida
28.17,7.48,13.72,3.9,598.33,4.77,9.43,Ideonella sakaiensis
25.2,6.84,9.95,7.0,226.86,4.44,16.06,Ideonella sakaiensis
23.11,6.86,10.9,3.57,172.85,3.57,13.64,Pseudomonas putida
21.5,7.89,10.86,9.03,166.32,2.12,10.02,Bacillus cereus
21.72,8.17,9.96,12.48,521.01,0.61,10.82,Alcaligenes eutrophus
23.59,7.79,6.79,9.6,185.27,2.48,18.61,Bacillus cereus
28.15,7.23,8.12,9.05,752.24,0.19,22.52,Pseudomonas aeruginosa
29.06,8.27,6.26,10.36,603.47,1.95,21.79,Pseudomonas aeruginosa
22.51,6.89,6.64,6.23,290.34,2.22,7.81,Bacillus cereus
24.06,6.93,13.11,6.67,480.22,1.12,36.11,Acinetobacter baumannii
20.67,6.86,7.12,3.48,267.89,3.66,12.23,Pseudomonas putida
26.67,8.53,10.01,12.29,407.98,0.19,10.9,Alcaligenes eutrophus
23.4,6.67,7.53,5.23,295.61,2.09,18.55,Bacillus cereus
22.47,7.2,9.88,8.16,409.99,4.66,17.51,Ideonella sakaiensis
21.84,7.45,6.69,7.7,499.56,2.31,8.56,Bacillus cereus
24.45,7.3,11.42,5.97,942.91,1.78,36.98,Acinetobacter baumannii
24.43,7.3,9.7,2.57,304.29,4.0,14.18,Pseudomonas putida
20.41,8.54,9.99,11.14,374.9,0.25,14.84,Alcaligenes eutrophus
27.5,8.77,7.3,5.95,487.32,0.21,8.17,Alcaligenes eutrophus
21.28,7.5,9.93,3.39,640.49,1.0,21.6,Acinetobacter baumannii
24.26,8.93,10.9,8.52,288.64,0.34,5.12,Alcaligenes eutrophus
24.66,6.51,6.71,4.25,371.11,2.33,7.43,Bacillus cereus
27.23,6.69,9.97,7.06,419.73,4.63,11.12,Ideonella sakaiensis
22.45,7.03,8.7,10.61,354.4,0.0,13.96,Alcaligenes eutrophus
28.88,7.65,5.93,8.62,448.89,0.95,19.57,Pseudomonas aeruginosa
26.94,6.77,12.89,5.24,423.6,0.08,33.11,Acinetobacter baumannii
25.8,8.91,6.85,14.23,425.25,1.9,23.94,Pseudomonas aeruginosa
23.41,7.71,10.59,6.16,285.68,2.95,9.95,Bacillus cereus
22.02,7.92,6.4,6.04,433.6,2.57,12.86,Bacillus cereus
27.89,7.35,8.98,4.4,934.43,0.07,34.83,Acinetobacter baumannii
23.45,7.27,10.19,5.1,934.57,1.3,26.28,Acinetobacter baumannii
26.25,6.97,9.34,6.32,503.15,0.51,34.88,Acinetobacter baumannii
26.36,8.09,5.93,9.61,419.45,1.66,26.03,Pseudomonas aeruginosa
26.31,6.79,11.24,9.86,377.23,4.92,7.76,Ideonella sakaiensis
28.39,8.2,8.36,6.3,712.71,1.42,23.63,Pseudomonas aeruginosa
24.92,6.29,8.34,2.24,319.15,3.85,12.8,Pseudomonas putida
24.48,7.17,8.23,8.75,580.8,4.9,3.35,Ideonella sakaiensis
28.24,6.52,8.96,7.98,589.28,4.05,8.54,Ideonella sakaiensis
21.0,7.79,9.16,5.82,199.69,2.29,19.97,Bacillus cereus
28.51,7.43,13.57,8.93,564.04,4.54,2.29,Ideonella sakaiensis
20.67,6.64,13.18,5.48,390.24,4.93,4.89,Ideonella sakaiensis
22.32,6.29,10.92,1.5,358.65,3.79,14.94,Pseudomonas putida
24.22,6.98,9.43,6.98,171.15,2.25,13.64,Bacillus cereus
23.89,7.05,8.39,3.55,424.24,1.0,26.65,Acinetobacter baumannii
23.18,7.22,7.57,2.6,314.87,3.72,13.61,Pseudomonas putida
26.01,6.89,10.96,7.39,242.2,4.4,18.28,Ideonella sakaiensis
27.81,6.92,8.5,5.79,447.34,1.78,34.22,Acinetobacter baumannii
20.14,7.04,10.82,6.24,803.0,2.29,23.45,Acinetobacter baumannii
29.39,7.19,8.17,7.2,451.56,0.68,11.74,Pseudomonas aeruginosa
24.69,7.16,9.42,8.06,211.27,4.63,11.04,Ideonella sakaiensis
27.53,6.76,13.36,4.01,805.63,0.63,27.55,Acinetobacter baumannii
22.61,8.41,5.97,5.68,507.7,0.32,0.3,Alcaligenes eutrophus
20.22,6.05,10.53,2.62,350.69,3.58,12.97,Pseudomonas putida
21.5,6.52,8.62,6.51,157.69,2.45,7.68,Bacillus cereus
24.98,7.26,9.84,2.87,343.5,3.69,12.5,Pseudomonas putida
29.69,8.67,9.4,12.03,380.36,0.87,19.78,Pseudomonas aeruginosa
21.62,6.63,7.08,2.98,132.38,3.73,14.62,Pseudomonas putida
26.86,7.86,7.68,10.47,598.92,0.41,11.77,Alcaligenes eutrophus
21.86,6.71,6.06,9.36,234.15,2.37,14.83,Bacillus cereus
22.61,6.67,8.09,6.53,560.19,4.9,12.15,Ideonella sakaiensis
21.78,7.46,8.34,4.5,291.4,3.66,14.82,Pseudomonas putida
22.16,6.61,10.8,4.63,153.84,3.7,14.21,Pseudomonas putida
28.55,7.4,12.94,4.42,376.35,4.88,3.68,Ideonella sakaiensis
27.27,7.29,8.6,2.23,405.59,4.9,18.66,Ideonella sakaiensis
22.02,7.9,6.04,7.72,324.27,2.78,9.99,Bacillus cereus
27.66,8.46,7.59,6.61,584.49,0.63,19.68,Pseudomonas aeruginosa
21.38,7.13,8.78,9.95,579.4,4.73,17.72,Ideonella sakaiensis
22.45,6.1,8.41,3.91,289.35,3.55,13.65,Pseudomonas putida
29.55,6.64,8.38,5.99,498.2,4.78,1.71,Ideonella sakaiensis
22.8,7.67,10.28,8.9,220.46,2.2,22.13,Bacillus cereus
28.01,7.13,6.28,12.39,399.07,1.44,27.85,Pseudomonas aeruginosa
25.96,8.61,9.42,4.68,781.91,0.24,18.17,Pseudomonas aeruginosa
23.41,6.35,11.7,2.83,120.38,3.97,12.64,Pseudomonas putida
21.31,6.77,10.92,9.1,329.36,4.17,11.37,Ideonella sakaiensis
20.59,6.63,9.99,3.88,649.25,0.05,22.74,Acinetobacter baumannii
23.62,6.72,11.83,2.2,379.12,3.95,12.11,Pseudomonas putida
29.27,7.59,5.13,9.76,164.73,0.26,2.73,Alcaligenes eutrophus
23.77,7.75,9.41,3.6,329.78,2.05,7.97,Bacillus cereus
21.54,7.92,7.71,5.38,364.09,2.77,12.94,Bacillus cereus
22.06,6.68,9.91,4.19,451.89,2.81,7.2,Bacillus cereus
26.75,7.36,8.69,2.02,502.66,2.44,29.72,Acinetobacter baumannii
27.1,6.76,11.49,2.34,742.4,1.11,31.4,Acinetobacter baumannii
20.23,6.54,8.1,4.01,174.49,2.92,20.32,Bacillus cereus
23.59,6.42,10.57,2.53,114.44,3.55,12.17,Pseudomonas putida
23.4,6.54,11.78,1.39,346.99,3.56,14.26,Pseudomonas putida
23.78,7.22,10.06,2.21,985.04,0.87,16.67,Acinetobacter baumannii
23.11,7.27,8.24,5.53,657.69,0.44,4.81,Alcaligenes eutrophus
25.13,6.86,12.76,6.04,395.59,4.51,8.62,Ideonella sakaiensis
24.05,7.22,8.12,3.81,488.5,2.86,5.94,Bacillus cereus
25.22,8.54,7.95,10.06,485.97,0.24,11.07,Alcaligenes eutrophus
20.87,7.55,10.24,10.96,429.6,0.16,14.7,Alcaligenes eutrophus
21.03,6.58,13.37,5.29,459.21,0.84,36.97,Acinetobacter baumannii
24.99,8.54,7.89,9.98,659.92,0.2,5.68,Alcaligenes eutrophus
29.31,7.27,10.69,4.76,468.6,4.55,2.16,Ideonella sakaiensis
26.8,6.79,13.19,4.59,979.36,0.05,17.96,Acinetobacter baumannii
28.16,7.29,9.81,13.96,672.95,0.45,20.6,Pseudomonas aeruginosa
23.08,7.06,9.61,3.45,631.01,1.35,29.55,Acinetobacter baumannii
24.69,8.75,6.49,5.78,599.71,0.45,7.19,Alcaligenes eutrophus
23.45,7.81,8.58,6.64,211.13,2.98,18.27,Bacillus cereus
20.86,6.8,8.18,3.38,440.64,4.28,12.99,Ideonella sakaiensis
21.35,6.88,11.69,2.44,476.77,0.19,24.99,Acinetobacter baumannii
24.66,7.48,8.14,8.26,180.4,2.07,10.74,Bacillus cereus
28.17,8.65,9.06,6.77,621.98,0.02,28.68,Pseudomonas aeruginosa
22.24,6.16,7.73,3.25,314.29,3.79,14.11,Pseudomonas putida
20.92,7.36,13.46,6.95,223.09,4.66,11.08,Ideonella sakaiensis
20.67,6.97,10.83,3.1,298.65,2.5,23.89,Bacillus cereus
23.06,7.01,13.05,3.35,595.24,0.41,21.69,Acinetobacter baumannii
21.45,7.44,11.41,4.21,231.63,0.67,5.44,Alcaligenes eutrophus
27.19,7.22,11.77,4.25,933.99,1.38,30.7,Acinetobacter baumannii
22.49,8.08,7.75,8.27,461.61,0.85,2.21,Alcaligenes eutrophus
23.89,7.05,12.02,9.47,554.88,4.53,12.67,Ideonella sakaiensis
20.59,6.58,11.47,2.64,292.44,4.34,6.22,Ideonella sakaiensis
29.86,8.37,5.67,8.39,643.98,1.36,25.92,Pseudomonas aeruginosa
21.39,6.89,10.01,3.45,160.86,3.99,14.03,Pseudomonas putida
25.13,6.58,8.66,2.89,809.15,0.03,30.37,Acinetobacter baumannii
25.52,7.29,8.31,7.6,585.77,4.59,14.03,Ideonella sakaiensis
23.28,6.59,11.29,7.52,946.89,1.95,32.12,Acinetobacter baumannii
27.89,7.47,11.79,3.61,443.38,4.96,11.93,Ideonella sakaiensis
21.67,7.37,10.06,3.29,560.49,4.17,0.41,Ideonella sakaiensis
20.19,6.0,11.23,3.89,205.74,3.67,12.3,Pseudomonas putida
22.08,7.47,10.65,2.11,391.39,3.66,12.03,Pseudomonas putida
21.34,7.48,7.42,3.28,350.98,2.21,15.79,Bacillus cereus
20.25,7.47,8.59,2.9,982.88,1.61,32.0,Acinetobacter baumannii
26.15,7.42,6.63,7.62,639.59,0.68,25.22,Pseudomonas aeruginosa
21.26,7.05,12.7,3.1,854.98,1.86,27.05,Acinetobacter baumannii
28.32,7.56,6.81,11.92,776.8,2.0,29.11,Pseudomonas aeruginosa
21.79,6.02,11.04,2.0,193.09,3.64,12.56,Pseudomonas putida
24.7,7.34,9.29,9.55,309.42,2.79,19.8,Bacillus cereus
25.66,7.12,13.15,5.83,423.8,4.5,16.0,Ideonella sakaiensis
24.0,6.73,9.04,7.11,200.55,4.26,5.1,Ideonella sakaiensis
20.67,7.87,7.76,8.86,431.79,2.34,14.16,Bacillus cereus
24.69,6.81,10.43,5.71,945.02,2.21,27.01,Acinetobacter baumannii
28.09,7.08,5.87,9.07,387.83,1.62,10.84,Pseudomonas aeruginosa
28.16,7.17,6.6,8.26,770.83,1.45,11.96,Pseudomonas aeruginosa
20.04,6.46,8.58,2.46,246.52,3.96,12.97,Pseudomonas putida
26.45,8.75,6.7,5.36,403.14,1.21,25.98,Pseudomonas aeruginosa
25.13,8.92,7.08,1.63,647.35,0.03,7.37,Alcaligenes eutrophus
25.52,7.08,11.08,8.24,384.87,4.23,3.82,Ideonella sakaiensis
28.69,8.94,8.33,7.34,796.28,0.48,20.22,Pseudomonas aeruginosa
21.48,7.1,8.34,9.19,444.78,2.62,20.42,Bacillus cereus
29.56,6.95,12.8,3.32,407.33,4.8,15.52,Ideonella sakaiensis
23.67,6.51,8.29,6.22,515.25,1.69,36.14,Acinetobacter baumannii
28.94,6.61,8.19,9.53,243.27,4.88,19.6,Ideonella sakaiensis
29.62,7.01,12.62,9.19,420.06,4.66,11.48,Ideonella sakaiensis
24.93,6.12,7.27,4.09,188.8,3.97,12.37,Pseudomonas putida
27.28,8.59,11.49,14.6,394.87,0.76,10.9,Alcaligenes eutrophus
26.23,6.78,8.08,7.08,460.58,4.33,17.8,Ideonella sakaiensis
26.47,6.99,13.14,7.91,203.88,4.33,11.14,Ideonella sakaiensis
26.81,7.9,9.3,12.55,471.79,1.51,24.32,Pseudomonas aeruginosa
23.39,8.79,9.81,13.9,681.68,0.22,13.6,Alcaligenes eutrophus
25.39,7.72,7.44,14.19,392.0,1.03,16.51,Pseudomonas aeruginosa
27.15,8.32,9.34,4.84,150.75,0.67,9.57,Alcaligenes eutrophus
23.91,7.33,9.37,1.81,199.0,3.81,13.9,Pseudomonas putida
29.09,8.81,10.44,12.49,368.72,0.67,13.28,Alcaligenes eutrophus
28.89,8.87,7.01,4.57,385.98,1.51,24.31,Pseudomonas aeruginosa
22.93,6.68,8.14,3.55,583.5,4.0,15.16,Ideonella sakaiensis
28.68,7.25,9.18,5.62,405.05,4.92,12.75,Ideonella sakaiensis
22.39,7.31,13.47,6.52,870.35,1.64,19.67,Acinetobacter baumannii
27.23,7.47,12.18,2.8,545.63,4.75,19.79,Ideonella sakaiensis
28.56,7.85,7.31,11.5,744.06,1.17,18.09,Pseudomonas aeruginosa
20.73,6.7,9.46,1.93,151.41,3.89,12.2,Pseudomonas putida
23.01,6.56,9.77,2.93,931.12,2.06,30.32,Acinetobacter baumannii
27.66,7.46,13.61,4.6,692.68,1.23,28.47,Acinetobacter baumannii
22.2,7.04,11.63,2.13,394.43,3.99,12.59,Pseudomonas putida
28.92,6.87,12.37,9.46,464.3,4.08,17.14,Ideonella sakaiensis
20.95,6.41,7.46,1.86,169.44,3.68,13.82,Pseudomonas putida
21.62,7.35,10.38,4.69,291.52,2.5,13.94,Bacillus cereus
27.9,7.59,8.38,12.24,506.19,0.49,29.38,Pseudomonas aeruginosa
21.25,7.49,8.95,4.16,941.01,1.5,25.22,Acinetobacter baumannii
24.38,8.93,9.55,4.54,338.82,0.16,0.81,Alcaligenes eutrophus
24.56,6.38,10.84,2.42,208.51,3.68,12.18,Pseudomonas putida
23.42,8.18,5.94,7.72,143.13,0.02,5.37,Alcaligenes eutrophus
21.06,6.0,9.82,2.05,160.56,3.83,12.31,Pseudomonas putida
27.33,8.6,6.33,13.46,518.77,1.11,27.37,Pseudomonas aeruginosa
25.19,8.12,6.14,13.1,513.72,0.22,21.51,Pseudomonas aeruginosa
26.07,7.92,9.67,13.99,367.89,1.37,15.82,Pseudomonas aeruginosa
24.22,6.93,7.17,1.4,205.9,3.59,14.99,Pseudomonas putida
21.88,8.63,9.58,13.29,159.05,0.71,13.15,Alcaligenes eutrophus
27.08,7.23,7.72,12.98,278.87,0.7,14.64,Alcaligenes eutrophus
27.37,7.95,8.69,8.14,138.9,0.49,4.07,Alcaligenes eutrophus
25.0,7.6,6.94,8.17,489.97,2.28,17.26,Bacillus cereus
23.14,7.03,11.22,1.83,165.01,3.53,12.79,Pseudomonas putida
21.51,7.04,10.64,2.08,324.31,4.0,18.3,Ideonella sakaiensis
25.06,7.34,5.19,14.81,699.32,1.76,22.07,Pseudomonas aeruginosa
24.17,7.29,9.5,8.36,533.56,4.34,3.85,Ideonella sakaiensis
22.71,6.4,9.86,3.06,361.1,3.63,12.89,Pseudomonas putida
25.84,7.19,8.52,2.91,984.21,0.66,22.15,Acinetobacter baumannii
29.17,7.17,11.27,2.83,402.33,4.37,12.85,Ideonella sakaiensis
23.05,7.12,7.92,2.54,383.25,4.0,14.45,Pseudomonas putida
24.81,7.43,8.7,6.36,487.85,4.2,0.84,Ideonella sakaiensis
24.64,7.29,10.09,6.97,450.31,2.3,6.84,Bacillus cereus
25.03,8.44,9.32,5.3,459.89,0.14,1.16,Alcaligenes eutrophus
22.38,6.69,11.87,3.83,468.57,0.14,23.45,Acinetobacter baumannii
20.05,7.64,9.78,7.01,197.69,2.44,8.98,Bacillus cereus
27.56,7.31,11.48,7.74,460.82,4.73,17.74,Ideonella sakaiensis
23.41,6.2,7.98,1.95,250.51,3.57,14.43,Pseudomonas putida
27.67,8.73,5.72,11.21,754.04,0.16,16.67,Pseudomonas aeruginosa
29.45,7.77,9.71,5.13,701.9,0.67,10.71,Pseudomonas aeruginosa
23.14,7.75,6.29,10.39,510.15,0.93,13.1,Alcaligenes eutrophus
29.02,6.51,9.62,7.38,502.59,4.62,14.89,Ideonella sakaiensis
27.33,6.74,9.2,8.0,589.23,2.18,27.68,Acinetobacter baumannii
23.09,7.7,10.92,8.27,346.65,2.98,18.22,Bacillus cereus
22.71,6.72,9.88,5.88,480.56,2.76,13.59,Bacillus cereus
26.63,8.94,6.3,13.17,304.53,0.65,11.33,Alcaligenes eutrophus
20.69,6.69,8.01,3.09,322.25,4.72,13.71,Ideonella sakaiensis
28.83,6.65,12.98,7.79,426.91,4.01,9.76,Ideonella sakaiensis
23.5,7.08,10.15,8.65,198.96,2.69,11.8,Bacillus cereus
21.3,6.8,8.07,7.23,150.3,2.62,23.56,Bacillus cereus
22.64,6.69,10.75,3.75,542.5,1.53,26.78,Acinetobacter baumannii
20.16,7.41,8.5,2.87,222.84,3.83,13.75,Pseudomonas putida
23.9,7.8,5.2,12.58,153.37,0.97,13.27,Alcaligenes eutrophus
24.43,6.28,9.38,4.68,186.17,3.9,13.7,Pseudomonas putida
24.4,7.36,10.08,2.03,150.64,3.56,13.98,Pseudomonas putida
28.11,7.03,8.94,6.43,561.04,0.63,26.42,Pseudomonas aeruginosa
28.43,7.15,7.53,9.95,590.9,1.9,11.67,Pseudomonas aeruginosa
29.12,7.34,7.57,4.02,562.25,2.0,10.75,Pseudomonas aeruginosa
21.72,7.13,10.28,1.83,188.01,3.65,12.09,Pseudomonas putida
20.89,6.83,7.32,4.74,383.06,3.74,12.24,Pseudomonas putida
24.1,6.8,11.93,3.12,580.68,1.21,37.57,Acinetobacter baumannii
25.85,6.83,11.19,4.34,235.8,4.02,2.31,Ideonella sakaiensis
27.96,7.12,10.39,3.99,474.08,4.4,9.5,Ideonella sakaiensis
23.85,7.22,10.59,8.44,468.06,2.09,10.37,Bacillus cereus
22.85,6.9,8.69,2.16,304.89,3.8,13.37,Pseudomonas putida
22.74,6.64,11.66,1.48,307.56,3.67,13.28,Pseudomonas putida
